Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2017,Public Safety,Police,Patrol,P465-081,Police Officer,74558
2017,General Government,City Clerk,Administration,C107-709,Principal Clerk,48788
2017,Public Safety,Animal Commission,Administration,M137-701,Dir/Animal Commission,92359
2017,Public Safety,Animal Commission,Administration,A209-702,Animal Control Officer,60197
2017,Public Safety,Animal Commission,Administration,A209-701,Animal Control Officer,60197
2017,Community Maintenance and Development,Cable Television,22-CityView & CCTV,M387-701,Master Control Operator,55968
2017,Community Maintenance and Development,Cable Television,22-CityView & CCTV,M381-701,Associate Producer,67929
2017,Community Maintenance and Development,Cable Television,22-CityView & CCTV,M060-701,Videotape Editor,58838
2017,Community Maintenance and Development,Cable Television,22-CityView & CCTV,M033-701,Director/Cable Television,94281
2017,Community Maintenance and Development,Cable Television,22-CityView & CCTV,C086-001,Administrative Assistant/Cable,50866
2017,General Government,City Clerk,Administration,O044-701,Deputy City Clerk,115717
2017,General Government,City Clerk,Administration,O008-701,City Clerk,136369
2017,General Government,City Clerk,Administration,M433-701,Operations Mngr/City Cler,99677
2017,General Government,City Clerk,Administration,M304-701,Business Prod Analyst/Prj.Mgr.,80390
2017,General Government,City Clerk,Administration,M103-701,Vital Records Supervisor,61306
2017,General Government,City Clerk,Administration,C107-708,Principal Clerk,48788
2017,General Government,City Clerk,Administration,C107-706,Principal Clerk,33826
2017,General Government,City Clerk,Administration,C107-704,Principal Clerk,48788
2017,General Government,City Clerk,Administration,C107-703,Principal Clerk,48788
2017,General Government,City Council,Administration,O002-709,City Councillor,78402
2017,General Government,City Council,Administration,O002-708,City Councillor,78402
2017,General Government,City Council,Administration,O002-707,City Councillor,78402
2017,General Government,City Council,Administration,O002-706,City Councillor,78402
2017,General Government,City Council,Administration,O002-705,City Councillor,78402
2017,General Government,City Council,Administration,O002-704,City Councillor,78402
2017,General Government,City Council,Administration,O002-703,City Councillor,78402
2017,General Government,City Council,Administration,O002-702,City Councillor,78402
2017,General Government,City Council,Administration,O001-701,Mayor,117082
2017,General Government,City Council,Administration,M255-709,Council Aide,49161
2017,General Government,City Council,Administration,M255-708,Council Aide,49161
2017,General Government,City Council,Administration,M255-706,Council Aide,49161
2017,General Government,City Council,Administration,M255-705,Council Aide,49161
2017,General Government,City Council,Administration,M255-704,Council Aide,49161
2017,General Government,City Council,Administration,M255-703,Council Aide,49161
2017,General Government,City Council,Administration,M255-702,Council Aide,49161
2017,General Government,City Council,Administration,M255-701,Council Aide,49161
2017,General Government,City Council,Administration,M147-710,Executive Asst To City Council,110249
2017,General Government,City Council,Administration,M079-701,Admin Project Assistant,64130
2017,Human Resources and Development,Commission on the Status of Women,Administration,M263-701,Proj Coord/Office Mngr,65203
2017,Public Safety,Electrical,Administration,C626-008,Electrician,67516
2017,Human Resources and Development,Commission on the Status of Women,Administration,M028-701,Exec Dir/Womens Commissio,83946
2017,Community Maintenance and Development,Community Development,Administration,O020-701,Asst City Mngr/Comm Devel,187812
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M607-701,Sustainability Planner,79743
2017,Community Maintenance and Development,Community Development,Community Planning,M599-720,Project Planner/Com Devel/CA,95632
2017,Community Maintenance and Development,Community Development,Housing,M599-719,Project Planner/Com Devel/CA,93783
2017,Community Maintenance and Development,Community Development,Administration,M593-703,Exe. Asst. to Asst CM-Com Dev,68293
2017,Community Maintenance and Development,Community Development,Community Planning,M592-722,Project Planner/Com Devel,82368
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M592-721,Project Planner/Com Devel,93114
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M592-720,Project Planner/Com Devel,92432
2017,Community Maintenance and Development,Community Development,Community Planning,M592-718,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Community Planning,M592-717,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Economic Development,M592-716,Project Planner/Com Devel,90639
2017,Community Maintenance and Development,Community Development,Community Planning,M592-714,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Economic Development,M592-713,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Community Planning,M592-712,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Housing,M592-711,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Housing,M592-709,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M592-707,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Housing,M592-704,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Community Planning,M592-702,Project Planner/Com Devel,88584
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M592-701,Project Planner/Com Devel,94281
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M591-006,Asst Planner,56481
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M591-005,Asst Planner,54996
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M591-003,Asst Planner,54996
2017,Community Maintenance and Development,Community Development,Housing,M591-002,Asst Planner,54996
2017,Community Maintenance and Development,Community Development,Community Planning,M591-001,Asst Planner,54996
2017,Community Maintenance and Development,Community Development,Housing,M590-701,Dir/Housing,108817
2017,Community Maintenance and Development,Community Development,Housing,M588-725,Assoc Planner,64002
2017,Community Maintenance and Development,Community Development,Community Planning,M588-724,Assoc Planner,61854
2017,Community Maintenance and Development,Community Development,Community Planning,M588-723,Assoc Planner,64866
2017,Community Maintenance and Development,Community Development,Administration,M588-722,Assoc Planner,79743
2017,Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M588-721,Assoc Planner,75201
2017,Community Maintenance and Development,Community Development,Housing,M588-712,Assoc Planner,79743
2017,Community Maintenance and Development,Community Development,Administration,M588-709,Assoc Planner,79743
2017,Community Maintenance and Development,Community Development,Economic Development,M587-701,Dir/Economic Development,108817
